"TERM";"URI";"HIT SCORE";"PONDERATED SCORE";"TERM MATCHED";"TERM SIMILARITY"
"CEREBROVASCULAR ACCIDENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3390";58.760395;89.69009875;"Cerebrovascular Accident";100
"HYPOTENSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3128";35.630722;83.9076805;"Hypotension";100
"DEEP VEIN THROMBOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C49343";69.39349;92.3483725;"Deep Vein Thrombosis";100
"HEMOCULT POSITIVE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C153405";18.934338;59.4835845;"PMEL Positive";73
"HYPONATREMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143571";32.59334;83.148335;"Hyponatremia";100
"RHABDOMYOLYSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143226";34.201187;83.55029675;"Rhabdomyolysis";100
"SUBDURAL HEMATOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C116585";53.588562;88.3971405;"Subdural Hematoma";100
"MASSIVE HEMOPTYSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3094";30.264397;60.81609925;"Hemoptysis";71
"CARDIAC CATH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38044";172.58958;94.897395;"CARDIAC CATHETERIZATION";69
"NECROTIZING FASCITITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84916";52.848392;86.712098;"Necrotizing Fasciitis";98
"AORTIC STENOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50462";38.10317;71.7757925;"Aortic Valve Stenosis";83
"AORTIC VALVE REPLACEMENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50815";63.918285;90.97957124999999;"AORTIC VALVE REPLACEMENT";100
"CABG";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C168020";24.276382;81.0690955;"CABG";100
"STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34344";64.29402;63.323505;"Motor Vehicle Accident";63
"SUBARACHNOID HEMORRHAGE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50757";46.980957;86.74523925;"Subarachnoid Hemorrhage";100
"T12 FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3046";26.455013;66.61375325;"FRACTURE";80
"STATUS POST MOTOR VEHICLE ACCIDENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34344";64.29402;75.323505;"Motor Vehicle Accident";79
"SEIZURES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C2962";46.748814;86.6872035;"Seizures";100
"MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143691";40.13327;85.0333175;"Myocardial Infarction";100
"CAROTID STENOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C95804";40.551933;71.63798325;"Carotid Artery Stenosis";82
"CAROTID ANGIOGRAM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C114864";33.601715;60.15042875;"Angiogram";69
"HEAD BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C44396";28.015337;52.00383425;"Lead Metal";60
"HYPOGLYCEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3126";31.48365;82.8709125;"Hypoglycemia";100
"NON";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C44778";16.712173;41.67804325;"Nondalton";50
"HODGKIN S LYMPHOMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C9357";43.732277;83.68306925;"Hodgkin's Lymphoma";97
"BONE MARROW TRANSPLANT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C15194";57.06913;89.2672825;"Bone Marrow Transplant";100
"HODGKINS LYMPHOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C9357";44.907585;83.97689625;"Hodgkin Lymphoma";97
"FEBRILE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C116503";29.42892;55.35723;"Febrile Seizure";64
"NEUTROPENIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3277";29.757906;82.4394765;"Neutropenia";100
"PULMONARY EMBOLUS WITH DESATURATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50640";42.716873;48.92921825;"Desaturation";51
"FUNGAL MENINGITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C120883";31.918625;46.97965625;"Fungus Present";52
"STATUS POST STRUCK BY CAR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;53.944996;"Status Post";61
"INCISIONAL HERNIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C15384";46.72747;67.1818675;"Incisional";74
"WEAKNESS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143684";23.243252;47.060812999999996;"Muscle Weakness Trunk";55
"OVERDOSE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50873";35.72746;83.931865;"Overdose";100
"FIB ARREST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C61462";36.844143;65.46103575000001;"Arrest";75
"OPIATE INTOXICATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C28283";32.827343;65.95683575;"Intoxication";77
"ANTERIOR MI";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C128600";381.09784;123.02446;"Left Anterior Middle Peripheral Zone of Prostate";37
"HEAD LACERATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50446";24.14438;66.036095;"Laceration";80
"INTRACRANIAL HEMORRHAGE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143596";46.032894;86.5082235;"Intracranial Hemorrhage";100
"MEDIAL PARIETAL TUMOR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C5573";37.05079;69.2626975;"Parietal Lobe Tumor";80
"GLIOBLASTOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C9375";25.613209;66.40330225;"Brain Glioblastoma";80
"ATRIAL SEPTAL DEFECT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84473";68.9769;92.244225;"ATRIAL SEPTAL DEFECT";100
"REPAIR ATRIAL SEPTAL DEFECT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84473";68.9769;80.994225;"ATRIAL SEPTAL DEFECT";85
"STABBING";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100319";23.211596;65.802899;"BPI - Stabbing";80
"FEVER";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C104929";25.856987;56.71424675;"Have Fever";67
"COMPLETE HEART BLOCK";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50501";39.68515;84.9212875;"Complete Heart Block";100
"STATUS POST FALL";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;68.944996;"Status Post";81
"ANEURYSM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26693";29.508924;82.377231;"ANEURYSM";100
"AORTIC INSUFFICIENCY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C51223";50.57782;87.644455;"Aortic Insufficiency";100
"MINIMALLY INVASIVE RE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C146803";45.992744;80.498186;"Minimally Invasive";92
"DO";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C86066";18.824257;79.70606425;"Do";100
"RESPIRATORY FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143809";43.927086;85.98177150000001;"Respiratory Failure";100
"CARDIAC ARREST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50479";60.676365;90.16909125;"Cardiac Arrest";100
"AV FISTULA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C36192";43.02314;85.755785;"AV Fistula";100
"ANGIOPLASTY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C51999";37.55876;84.38969;"Angioplasty";100
"HYPERKALEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143554";31.315315;82.82882875;"Hyperkalemia";100
"UPPER GI BLEED";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C25265";41.072544;65.018136;"Upper GI";73
"HYPERTENSIVE EMERGENCY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C53513";32.06158;53.765395;"EMERGENCY ROOM";61
"HTN CRISIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C94341";24.44691;52.6117275;"Crisis Intervention";62
"HYPERTENSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3117";30.771307;82.69282675;"Hypertension";100
"HYPERTENSIVE URGENCY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C9243";31.038664;56.509666;"Hypertensive Disorders of Pregnancy";65
"HYPERTENSION EMERGENCY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C62648";32.769344;59.192336;"Emergency Situation";68
"HYPERTENSIVE CRISIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3122";44.673798;86.1684495;"Hypertensive Crisis";100
"ACUTE  RENAL FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C114388";47.451862;70.3629655;"Postpartum Acute Renal Failure";78
"CLAUDICATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50495";33.424347;83.35608675;"Claudication";100
"CHRONIC OBST PULM DISEASE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C168195";38.72289;67.4307225;"Other chronic diseases";77
"AR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C43495";21.435143;80.35878575;"AR";100
"TAMPONEDE ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50481";32.65812;54.66453;"Cardiac Tamponade";62
"PARENCHYMAL HEMORRHAGE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C117203";39.21779;69.8044475;"Parenchymal Hemorrhage of Newborn";80
"RULE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C138178";42.246128;85.561532;"Rule";100
"OUT MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143691";40.13327;78.2833175;"Myocardial Infarction";91
"STERNAL DRAINAGE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C6730";32.210503;54.552625750000004;"Sternal Neoplasm";62
"NUERO SARCOIDOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34995";34.092216;67.773054;"Sarcoidosis";79
"THORACIC MYELOPATHY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C12251";24.904919;58.72622975;"ESOPHAGUS, THORACIC";70
"CAROTID STENOSIS RIGHT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C95804";40.551933;63.38798325;"Carotid Artery Stenosis";71
"HEMATURIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3090";34.521206;83.6303015;"Hematuria";100
"RENAL MASS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C35306";182.96706;120.741765;"Renal Mass";100
"RENAL CANCER";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C9384";26.487736;81.621934;"Renal Cancer";100
"DRA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C101157";27.357883;51.839470750000004;"HLA-DRA";60
"MR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C123598";25.89067;81.4726675;"MR";100
"MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C157923";59.921562;65.2303905;"Minimally Invasive Joint Replacement Surgery";67
"LIVER FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26922";37.152763;84.28819075;"Liver Failure";100
"THORACIC DISSECTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C61409";26.740261;60.68506525;"Tissue Dissection";72
"HEAD INJURY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34660";36.36152;84.09038;"Head Injury";100
"THROMBOCYTOPENIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3408";47.32685;86.8317125;"Thrombocytopenia";100
"ANEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C2869";24.528538;81.1321345;"Anemia";100
"LYMPHOMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C5264";23.986288;62.996572;"BALT Lymphoma";76
"CATH WITH BRACHY S";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C134931";24.085752;40.521438;"Difficulty Working with Numbers or Math";46
"B";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100090";16.712173;22.92804325;"Bifocal";25
"ST ELEVATED MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C101888";52.290413;82.82260325;"ST ELEVATION MYOCARDIAL INFARCTION";93
"LIVER CONTUSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50853";44.522377;86.13059425;"Liver Contusion";100
"STATUS POST ASSAULT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;62.944996;"Status Post";73
"AORTIC DISSECTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50461";45.604977;86.40124425;"Aortic Dissection";100
"LEG PAIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34764";95.187386;98.7968465;"Leg Pain";100
"ABDOMINAL PAIN";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26682";93.804375;98.45109375;"Abdominal Pain";100
"PULMONARY EDEMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26868";45.976486;86.4941215;"Pulmonary Edema";100
"DYSPNEA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C2998";23.89272;80.97318;"DYSPNEA";100
"ASTHMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C28397";25.096973;81.27424325;"Asthma";100
"DEHYDRATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C126369";34.477413;83.61935325;"Dehydration";100
"HYDROCEPHALUS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3111";34.298096;83.574524;"HYDROCEPHALUS";100
"USA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C68868";28.904076;48.476019;"Acre USA";55
"ADRENAL INSUFFICIENCY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C55748";47.31611;86.8290275;"Adrenal Insufficiency";100
"STATUS POST TIPS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38008";32.779984;68.944996;"Status Post";81
"ENCEPHALOPATHY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26920";27.850422;81.9626055;"Encephalopathy";100
"LEFT WRIST LACERATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26348";30.593803;51.89845075;"Left-Right Determination Factor 1";59
"CVA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3390";28.561205;82.14030125;"CVA";100
"CHRONIC RENAL FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C9438";57.185852;89.296463;"Chronic Renal Failure";100
"HEMORRHAGIC CVA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3390";28.561205;37.89030125;"Cerebral Infarction";41
"PANCREATIC CANCER";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C91446";152.17592;113.04398;"Pancreatic cancer";100
"PATIENT FORAMEN OVALE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34619";48.910625;85.72765625;"Patent Foramen Ovale";98
"PATENT FORAMEN OVALE MINIMALLY INVASIVE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34619";51.62119;63.9052975;"Patent Foramen Ovale";68
"PERICARDIAL EFFUSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3319";45.80676;86.45169;"Pericardial Effusion";100
"C";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C100032";21.880714;21.9701785;"LSNCPCLS";22
"2 FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C58251";31.057573;65.51439325;"Grade 2 Fracture";77
"HYPERBILIRUBINEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C113768";32.16806;71.04201499999999;"Direct Hyperbilirubinemia";84
"MULTI";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C43210";25.079985;43.76999625;"Multi Dose Vial";50
"TRAUMA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3671";26.95589;81.7389725;"Trauma";100
"TYLENOL";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C166487";26.827686;59.9569215;"BOLENOL";71
"ICH";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C96146";29.857428;82.464357;"ICH";100
"ST SEGMENT ELEVATION MYOCARDIAL INFARCTION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C101888";76.37871;85.8446775;"ST ELEVATION MYOCARDIAL INFARCTION";89
"HEART FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143529";42.078316;85.519579;"Heart Failure";100
"LEFT RENAL TUMOR";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C52693";32.586258;61.3965645;"Left Renal Vein";71
"LEFT RENAL ARTERY STENOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C123221";50.108982;79.27724549999999;"Renal Artery Stenosis";89
"DILANTIN TOXICITY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C17755";25.821774;61.2054435;"Toxicity Testing";73
"MENTAL STATUS CHANGES";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C157435";65.4772;91.3693;"Mental Status Changes";100
"CHIARI I MALFORMATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C84570";53.424347;84.60608675;"Chiari Malformation";95
"C7 FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3046";26.455013;69.61375325;"FRACTURE";84
"SEVERE OBSTRUCTIVE HYPERTROPHIC CARDIOMYOPATHY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C34449";50.751698;68.1879245;"Hypertrophic Cardiomyopathy";74
"SEPTAL ETHANOL ABLATION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C67444";54.048973;75.01224325;"ethanol ablation";82
"BRIGHT RED BLOOD PER RECTUM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C133354";38.224106;55.3060265;"Reconstituted Red Blood Cells";61
"LEFT HIP FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143546";53.462578;75.6156445;"Hip Fracture";83
"AORTIC VALVE REPLACEMENT ";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50815";63.918285;90.97957124999999;"AORTIC VALVE REPLACEMENT";100
"ACUTE MI";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C71065";25.028812;54.257203;"Acute Anterior MI";64
"METASTATIC PANCREATIC CA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C156069";525.4747;196.618675;"Metastatic Pancreatic Carcinoma";87
"MALUNION FRACTURE RIGHT WRIST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143952";47.738914;60.6847285;"Wrist Fracture";65
"ABDOMINAL AORTIC ANEURYSM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27000";64.23758;91.059395;"Abdominal Aortic Aneurysm";100
"LEFT CAROTID STENOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C95804";40.551933;64.88798325;"Carotid Artery Stenosis";73
"INSTEMI";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C80383";19.663958;73.9159895;"NSTEMI";92
"ANEURSYM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26693";25.820309;72.45507725;"ANEURYSM";88
"KIDNEY THROMBOEMBOLISM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C28195";51.661316;73.665329;"Thromboembolism";81
"PANCREATITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3306";33.89615;83.4740375;"Pancreatitis";100
"ACUTE PANCREATITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C95437";49.597496;87.399374;"Acute Pancreatitis";100
"ACUTE RENAL FAILURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C114388";47.451862;70.3629655;"Postpartum Acute Renal Failure";78
"DIABETIC KETO ACIDOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C28228";30.902237;56.47555925;"Metabolic Acidosis";65
"BREAST MASS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3197";35.759487;83.93987175;"Breast Mass";100
"STROKE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C3390";26.280478;81.5701195;"Stroke";100
"LT LEG ISCHEMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C95802";39.277718;60.0694295;"Ischemia Stroke";67
"CELLULITIS RT FOOT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C26715";32.12267;61.2806675;"Cellulitis";71
"PVD";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C136278";29.14412;82.28603;"PVD";100
"OSTEOMYELITIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C27577";32.90084;83.22521;"Osteomyelitis";100
"DM";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C14771";25.452225;81.36305625;"DM";100
"LINE SEPSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143827";30.249275;60.81231875;"Sepsis";71
"POSITIVE BLOOD CULTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C122437";52.309612;88.077403;"Positive Blood Culture";100
"BACTEREMIA";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C143206";30.249275;82.56231875;"Bacteremia";100
"CERVICAL SPINE FRACTURE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C69313";39.846554;66.96163849999999;"CERVICAL SPINE";76
"CERVICAL NECK FUSION STATUS POST";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C23774";38.29653;57.5741325;"Murine Cervical Neck Region";64
"FEBRILE SYNDROME";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C116503";29.42892;60.60723;"Febrile Seizure";71
"MENTAL STUATUS CHANGE RULE";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C157435";62.494926;80.8737315;"Mental Status Change";87
"OUT EPIDURAL ABCESS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C38210";30.54589;56.386472499999996;"Epidural use";65
"RECURRENT PLEURAL EFFUSION";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C166176";48.525177;79.63129425;"Recurrent Large Pleural Effusion";90
"PLEUROSCOPY";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C17196";33.244583;83.31114575;"Pleuroscopy";100
"CHEST TUBE PLACEMENT";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C148463";59.535053;89.88376325;"Chest Tube Placement";100
"DIABETIC KETOACIDOSIS";"http://purl%2Eobolibrary%2Eorg/obo/NCIT_C50530";53.59765;88.3994125;"Diabetic Ketoacidosis";100
